scheme_code,requested_scheme_name,date,nav,meta_fund_house,meta_scheme_type,meta_scheme_category,meta_scheme_code,meta_scheme_name,meta_isin_growth,meta_isin_div_reinvestment,fetched_at_utc
125497,HDFC Top 100 Direct,01-06-2026,192.31950,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,125497,SBI Small Cap Fund - Direct Plan - Growth,INF200K01T51,,2026-06-02T12:15:36.487813+00:00
119551,SBI Bluechip,01-06-2026,104.70250,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9,2026-06-02T12:15:36.903572+00:00
120503,ICICI Bluechip,01-06-2026,103.09480,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,,2026-06-02T12:15:37.314390+00:00
118632,Nippon Large Cap,01-06-2026,97.19440,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XI3,,2026-06-02T12:15:37.738340+00:00
119092,Axis Bluechip,01-06-2026,6156.75320,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,119092,HDFC Money Market Fund - Growth Option - Direct Plan,INF179KB1HU9,,2026-06-02T12:15:38.004249+00:00
120841,Kotak Bluechip,01-06-2026,246.98140,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,,2026-06-02T12:15:38.435430+00:00
